job_id,job_title,company,location,description,skills,seniority,industry
1,Data Scientist,Corestack Solutions,"Gurugram, India","We are looking for a intern Data Scientist to join our technology team. The ideal candidate has hands-on experience with pandas, machine learning, scikit-learn, statistics, sql, python. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",pandas; machine learning; scikit-learn; statistics; sql; python,Intern,Technology
2,Data Scientist,Nimbus Analytics,"Pune, India","We are looking for a senior Data Scientist to join our technology team. The ideal candidate has hands-on experience with numpy, python, sql, machine learning, statistics, deep learning. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",numpy; python; sql; machine learning; statistics; deep learning,Senior,Technology
3,Data Scientist,Solstice AI,"Noida, India","We are looking for a entry-level Data Scientist to join our healthcare team. The ideal candidate has hands-on experience with pandas, statistics, deep learning, data analysis, machine learning. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",pandas; statistics; deep learning; data analysis; machine learning,Entry-level,Healthcare
4,Data Scientist,Skyline Systems,"Pune, India","We are looking for a entry-level Data Scientist to join our e-commerce team. The ideal candidate has hands-on experience with machine learning, scikit-learn, statistics, pandas, sql, data analysis, python, deep learning. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",machine learning; scikit-learn; statistics; pandas; sql; data analysis; python; deep learning,Entry-level,E-commerce
5,Data Scientist,Vertex Data Labs,"Noida, India","We are looking for a intern Data Scientist to join our healthcare team. The ideal candidate has hands-on experience with scikit-learn, numpy, deep learning, python, statistics, machine learning, data analysis, sql, pandas. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",scikit-learn; numpy; deep learning; python; statistics; machine learning; data analysis; sql; pandas,Intern,Healthcare
6,Data Scientist,Corestack Solutions,"Mumbai, India","We are looking for a intern Data Scientist to join our healthcare team. The ideal candidate has hands-on experience with pandas, scikit-learn, deep learning, machine learning, statistics, python, sql. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",pandas; scikit-learn; deep learning; machine learning; statistics; python; sql,Intern,Healthcare
7,Data Scientist,Northwind AI,"Mumbai, India","We are looking for a entry-level Data Scientist to join our finance team. The ideal candidate has hands-on experience with sql, numpy, scikit-learn, pandas, python, machine learning, deep learning, data analysis. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",sql; numpy; scikit-learn; pandas; python; machine learning; deep learning; data analysis,Entry-level,Finance
8,Data Scientist,Vertex Data Labs,"Gurugram, India","We are looking for a senior Data Scientist to join our e-commerce team. The ideal candidate has hands-on experience with scikit-learn, numpy, deep learning, data analysis, statistics, sql, python, machine learning, pandas. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",scikit-learn; numpy; deep learning; data analysis; statistics; sql; python; machine learning; pandas,Senior,E-commerce
9,Machine Learning Engineer,Riverstone Tech,"Noida, India","We are looking for a entry-level Machine Learning Engineer to join our healthcare team. The ideal candidate has hands-on experience with sql, git, aws, tensorflow, rest api, docker, machine learning, python, pytorch, deep learning. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",sql; git; aws; tensorflow; rest api; docker; machine learning; python; pytorch; deep learning,Entry-level,Healthcare
10,Machine Learning Engineer,Northwind AI,Remote,"We are looking for a entry-level Machine Learning Engineer to join our healthcare team. The ideal candidate has hands-on experience with tensorflow, sql, rest api, docker, machine learning, deep learning, pytorch, aws, python, git. You will work on real-world problems, collaborate with cross-functional teams, and help ship production-quality solutions.",tensorflow; sql; rest api; docker; machine learning; deep learning; pytorch; aws; python; git,Entry-level,Healthcare
